,10,20,30,40,50,60
arima,0.00014780617156578719,0.00014780617156578719,0.00014780617156578719,0.00014780617156578719,0.00014780617156578719,0.00014780617156578719
da-rnn,0.0011135669257985913,5.507559184671703e-05,0.00010861184712975887,0.0017983906091547123,0.0003586725498560021,0.0003411716953984453
deep-ar,7.937204160825262e-06,5.379783689372432e-06,5.110316256934557e-06,3.857000867042569e-06,2.8373496082766358e-06,2.864140226902106e-06
deep-state,5.349254525494535e-06,1.269324304266165e-05,1.8355830954444897e-05,6.321291328356403e-06,8.768406547542115e-06,4.766915597555893e-06
lstm,0.0003515664416148877,9.018631348136472e-06,8.74724600413145e-06,2.6618241525720594e-06,1.1165417063184663e-05,9.138669882154066e-05
mlp,0.00040516273187991093,0.0002631740427770008,7.594598010179727e-05,0.00016560079672404735,0.00025374610144463856,0.00015935424568755375
rf,0.0011448052062508235,0.0011331810746066037,0.001131411769113398,0.001106090257051683,0.0011190915364760817,0.0011186057008369943
svr,2.0226719410790996e-06,2.025636727220695e-06,1.8497362404412762e-06,1.938173093959221e-06,1.8624940591077334e-06,1.8874886286977372e-06
tft,2.9280007725565015e-06,3.0208811361926673e-06,2.9286456472664654e-06,2.975693420602e-06,3.031033411854721e-06,2.9240902804963435e-06
xgboost,0.001482195872017611,0.0014842629624338497,0.001976840321674425,0.0022630726329632375,0.0025133249506115733,0.0025027774197344107
