,10,20,30,40,50,60
arima,0.058484305822726367,0.058484305822726367,0.058484305822726367,0.058484305822726367,0.058484305822726367,0.058484305822726367
da-rnn,0.34611266578492245,0.40758895432164893,0.2774503718701541,0.5927199433631326,0.607575871564304,0.33571901964521045
deep-ar,0.0121757845858312,0.02298311016901748,0.014676110220935039,0.023009764274063312,0.010439532012264096,0.014893622914863977
deep-state,0.03226447972147703,0.02610585615337823,0.03398486877559534,0.03628251359099591,0.03961771985077635,0.024609255104044724
lstm,0.02388439972594299,0.04824685330424161,0.03591369162973238,0.028605598224689287,0.037570172784540015,0.04722580479978172
mlp,0.061799637555842814,0.050206018869746454,0.05835226737042284,0.07387247348110337,0.08584477401682046,0.09483558373010013
rf,0.23782585978543072,0.24650852433284387,0.24271017230108996,0.24451201549461404,0.2446508407176351,0.2501466576104783
svr,0.010532166919271715,0.010913753136071541,0.011242154207411781,0.012254141647366554,0.01407840981589347,0.01401558210250797
tft,0.010541075148789531,0.010534407689270657,0.01053420321213415,0.010564698032232096,0.010535268421795972,0.010541630465291094
xgboost,0.264349906226172,0.26760759112160554,0.26592088221511534,0.26403377604988576,0.264548602547526,0.2648181349811717
