Time,value
00:00:00,26.318215892054
00:01:00,26.5590132827324
00:02:00,24.6906976744186
00:03:00,22.9442363712027
00:04:00,24.3826280623608
00:05:00,23.7714429868819
00:06:00,23.8154003059663
00:07:00,23.6283274736313
00:08:00,24.293746715712
00:09:00,24.8971861471861
00:10:00,24.798650752465
00:11:00,25.6686991869919
00:12:00,24.7051087506323
00:13:00,23.985944820406
00:14:00,24.9910948140388
00:15:00,24.9514066496164
00:16:00,25.3642252117588
00:17:00,24.5475460122699
00:18:00,24.9748394004283
00:19:00,24.5575266092245
00:20:00,28.6443873179092
00:21:00,27.5201385881334
00:22:00,26.1027960526316
00:23:00,24.0467811158798
00:24:00,24.6476660682226
00:25:00,23.089058524173
00:26:00,24.0502070393375
00:27:00,24.2932642487047
00:28:00,24.1126472094214
00:29:00,24.1252587991718
00:30:00,24.3852501289324
00:31:00,25.1102040816326
00:32:00,24.0749639596348
00:33:00,25.1638554216867
00:34:00,25.659113796576
00:35:00,24.8599412340842
00:36:00,23.9083036169129
00:37:00,23.2765190525232
00:38:00,22.9395939086294
00:39:00,22.9938080495356
00:40:00,26.6709543568465
00:41:00,28.7604690117253
00:42:00,26.4156004952538
00:43:00,24.8397745571659
00:44:00,23.5419240953221
00:45:00,23.2894341512268
00:46:00,24.6469733656174
00:47:00,24.145498783455
00:48:00,24.0827994085757
00:49:00,23.6658560311284
00:50:00,24.2921460730365
00:51:00,25.3122954651706
00:52:00,24.017593913457
00:53:00,22.0232670867668
00:54:00,23.2683158896289
00:55:00,22.2276867030965
00:56:00,23.4733785091965
00:57:00,23.572550831793
00:58:00,24.0873342478281
00:59:00,22.5848977889028
01:00:00,27.6190335013341
01:01:00,29.252493765586
01:02:00,28.2478114478114
01:03:00,28.4197571381687
01:04:00,28.0096601073345
01:05:00,24.7378597122302
01:06:00,25.0562050359712
01:07:00,28.1373913043478
01:08:00,24.3192799621033
01:09:00,23.3615635179153
01:10:00,23.6243243243243
01:11:00,24.2136010953902
01:12:00,24.0487584650113
01:13:00,22.9668310174809
01:14:00,22.7724719101124
01:15:00,23.221360109539
01:16:00,25.2188520765282
01:17:00,24.5745507527926
01:18:00,23.5710866443274
01:19:00,24.4682904411765
01:20:00,27.1040206565843
01:21:00,27.8732824427481
01:22:00,25.6289233214144
01:23:00,23.7134548274525
01:24:00,23.9532
01:25:00,24.032967032967
01:26:00,23.5236130215497
01:27:00,24.3654121010005
01:28:00,24.1975425330813
01:29:00,23.7841065686725
01:30:00,24.7133058984911
01:31:00,23.7082585278276
01:32:00,24.6514806378132
01:33:00,26.4220222793488
01:34:00,26.2010605391074
01:35:00,23.8887896382314
01:36:00,24.9613309352518
01:37:00,24.8029231494578
01:38:00,23.5872945357619
01:39:00,23.489522960321
01:40:00,26.9822256568779
01:41:00,28.285136129507
01:42:00,26.9808871258565
01:43:00,24.6532738095238
01:44:00,25.2915173237754
01:45:00,24.9136183340679
01:46:00,24.716305788776
01:47:00,26.1933853927423
01:48:00,26.0811287477954
01:49:00,25.9252823631625
01:50:00,25.8628221930974
01:51:00,26.3289806234204
01:52:00,25.5716790881192
01:53:00,25.2478146853147
01:54:00,25.5091463414634
01:55:00,25.3260089686099
01:56:00,25.0784922394678
01:57:00,25.8283146067416
01:58:00,26.2843791722296
01:59:00,26.4594467885607
02:00:00,27.7351806383725
02:01:00,27.8628948281847
02:02:00,26.4327378782355
02:03:00,25.020902090209
02:04:00,25.4190512048193
02:05:00,25.6447368421053
02:06:00,25.0406794814484
02:07:00,27.3651096282174
02:08:00,25.2048987282148
02:09:00,24.1802018260452
02:10:00,25.2391513982642
02:11:00,25.460373998219
02:12:00,25.7516188714154
02:13:00,25.2291666666667
02:14:00,24.8424942263279
02:15:00,24.7435185185185
02:16:00,24.1077547339946
02:17:00,26.7795016455101
02:18:00,24.2588408644401
02:19:00,24.6490384615385
02:20:00,28.5364
02:21:00,29.3895752895753
02:22:00,26.8792692613185
02:23:00,25.0721402949382
02:24:00,24.053492484527
02:25:00,24.1060969755161
02:26:00,24.257045675413
02:27:00,23.9156565656566
02:28:00,24.6057692307692
02:29:00,25.5077720207254
02:30:00,24.8758586849853
02:31:00,25.5016532829476
02:32:00,25.5947368421053
02:33:00,25.4638836772983
02:34:00,26.6525634644102
02:35:00,24.932902584493
02:36:00,25.277331995988
02:37:00,25.2869389813414
02:38:00,24.7194135490394
02:39:00,23.7945917836713
02:40:00,27.5390273804659
02:41:00,27.9750204750205
02:42:00,26.1612021857923
02:43:00,25.044226044226
02:44:00,25.7527989252127
02:45:00,25.5951557093426
02:46:00,25.0802741067058
02:47:00,26.7282872392043
02:48:00,25.1433381433381
02:49:00,24.4034398034398
02:50:00,25.2881271733731
02:51:00,24.8443142996584
02:52:00,26.0588837685612
02:53:00,24.3648192771084
02:54:00,24.1010968049595
02:55:00,23.8510014655594
02:56:00,24.2626613704072
02:57:00,25.6833759590793
02:58:00,24.7209549071618
02:59:00,23.2608921161826
03:00:00,23.2376268060252
03:01:00,22.0014867677669
03:02:00,20.9747119078105
03:03:00,19.7204267336053
03:04:00,20.130567419158
03:05:00,19.3589100035855
03:06:00,18.9778188539741
03:07:00,18.0166485703945
03:08:00,18.5580089820359
03:09:00,19.4939622641509
03:10:00,18.5115724982982
03:11:00,17.8442930153322
03:12:00,17.9233741146169
03:13:00,17.3366109472304
03:14:00,17.5099966113182
03:15:00,18.3087271472922
03:16:00,18.2903117666778
03:17:00,17.5765979032804
03:18:00,17.4535836177474
03:19:00,17.1885026737968
03:20:00,21.3998242530756
