,10,20,30,40,50,60
arima,0.1014901693139806,0.1014901693139806,0.1014901693139806,0.1014901693139806,0.1014901693139806,0.1014901693139806
da-rnn,0.5014427290873367,0.5158902757912482,0.5534076865044859,0.5814933687044741,0.559408727662701,0.5680820016994298
deep-ar,0.024628581333743415,0.011742676950011922,0.010285794677564063,0.0026885123455882565,0.005877001542560334,0.00192635386848652
deep-state,0.008665233411122892,0.05469795507715074,0.00978215376250093,0.005058038499896676,0.003845795423572323,0.004885625583832734
lstm,0.05108525854874668,0.06715536382498097,0.11228086133253669,0.03119949393545963,0.03675352541629,0.0947658934578071
tft,0.0018024595387896422,0.0018201172300847323,0.0017780066688076676,0.0018587226371992143,0.0018103395060988718,0.001821522949691117
mlp,0.1474052827091551,0.09979289527847296,0.12436612180610764,0.09944531050879162,0.14590819790498857,0.08470266052223675
rf,0.5809387349819736,0.5812253972464054,0.5806837238188627,0.5810314237340215,0.580796539169283,0.5809992063796551
svr,0.004103490101928257,0.005640057967242417,0.002280905721903071,0.00399880052389708,0.005568928460503889,0.007624258685444929
xgboost,0.5630894224427712,0.5631520967267525,0.5640168707154762,0.564957133986808,0.5835145334981453,0.5661248783849251
