,10,20,30,40,50,60
arima,0.019925875996719803,0.019925875996719803,0.019925875996719803,0.019925875996719803,0.019925875996719803,0.019925875996719803
da-rnn,0.017734199975877895,0.0550738679568004,0.03143852295285893,0.05121866728582517,0.026738439151442667,0.06361158644554929
deep-ar,0.00965717488403883,0.009862163399794361,0.009076501314142976,0.009236166570014276,0.009224226781724836,0.009577725343420232
deep-state,0.010027670662965215,0.010257644007088807,0.012711283726872247,0.012139118655893717,0.01069210251625357,0.009454084739770273
lstm,0.022211406525504917,0.017917273640102288,0.01613834282200178,0.013961563225873398,0.012188908107704543,0.012201844769274554
mlp,0.009766523764083239,0.010930027325154322,0.012560098896544412,0.011937126077688874,0.012498924615422114,0.01159291115779164
rf,0.03204952867272069,0.037895135183543815,0.041279635637237584,0.041771065635598986,0.049640192552260945,0.046255212976184734
svr,0.010802352900231757,0.011335572472430009,0.009754456539515299,0.009993149906171603,0.010184717800126255,0.011047551069660622
tft,0.012091937253437619,0.012051324968210687,0.012093024648873347,0.012148329469488706,0.012095385135806689,0.012067169748569442
xgboost,0.03896778131857847,0.04027134320260656,0.04588800351519783,0.044497454853493566,0.04511431980783862,0.04630773338477341
