,10,20,30,40,50,60
arima,0.0432457144619021,0.0432457144619021,0.0432457144619021,0.0432457144619021,0.0432457144619021,0.0432457144619021
da-rnn,0.37570006546005175,0.22229803519990657,0.2349162919030606,0.29261961843618545,0.27692631578807303,0.25092247948073293
deep-ar,0.08857801439628767,0.035769168691498085,0.04773312705540439,0.026549736074268845,0.029677931318044134,0.026490176485953375
deep-state,0.033246021150775004,0.029937089534942545,0.04158623767079063,0.030482193230726748,0.029092170544931868,0.037917249923532154
lstm,0.07464594485191918,0.04524161934089777,0.05931251430454631,0.03243712852780399,0.03704107198729751,0.064001769036316
mlp,0.06370284533242625,0.06729894012925504,0.07965804469254886,0.06821689362679602,0.054566412461392697,0.08095913589050173
rf,0.32058663980141083,0.3212226471591817,0.32181267103841144,0.3189646432865211,0.31675209998421405,0.3192188823798229
svr,0.024747392762534,0.02491990193990101,0.023727791313528684,0.023444987167507175,0.023452818138929663,0.022801159499956147
tft,0.02669542911149954,0.026797491695732603,0.026711580582502795,0.02667389724286995,0.02698195255469081,0.02670426543343006
xgboost,0.38626040519697874,0.3841586031896493,0.383182439950875,0.37061147758363694,0.38126282437236797,0.38174949038862255
