,Time to Fit (s)
arima,120.69358563423157
da-rnn,54.288392782211304
deep-ar,1532.5031015872955
deep-state,6733.116949558258
lstm,385.9732072353363
tft,225.82848930358887
mlp,45.88302826881409
rf,355.13747787475586
svr,120.04599690437317
xgboost,219.77312922477722
