,Time to Fit (s)
arima,493.6363835334778
da-rnn,58.39352631568909
deep-ar,1717.4687178134918
deep-state,6195.038413524628
lstm,358.12848258018494
tft,141.80637073516846
mlp,59.34035325050354
rf,346.1275095939636
svr,74.78386855125427
xgboost,426.54097986221313
