,Time to Fit (s)
arima,146.01275300979614
da-rnn,105.0283317565918
deep-ar,2144.0259165763855
deep-state,10864.272556304932
lstm,388.7038309574127
tft,529615.8866147995
mlp,20.511430501937866
rf,612.3612129688263
svr,58.14559769630432
xgboost,2242.8913271427155
