,Time to Fit (s)
arima,35.61896824836731
da-rnn,103.59744668006897
deep-ar,1227.0640122890472
deep-state,4667.908169746399
lstm,335.03861713409424
tft,787152.1176080704
mlp,17.152024030685425
rf,395.04419231414795
svr,402.87808179855347
xgboost,2635.1643760204315
