,10,20,30,40,50,60
arima,0.49463874563618,0.49463874563618,0.49463874563618,0.49463874563618,0.49463874563618,0.49463874563618
da-rnn,0.20631082639060289,0.1928686611245939,0.19578612303238058,0.1967406889051855,0.1961884914041381,0.2109255048486008
deep-ar,0.07985516228070721,0.08050147427778773,0.0808317348970502,0.07933865732550269,0.0797840132799085,0.07779925127314456
deep-state,0.2286604550863625,0.14966152868974117,0.19425915418586998,0.1274365105950158,0.18259404281928382,0.0971880357426274
lstm,0.1317730297030804,0.13051217471838567,0.13881835951250257,0.13057386440695273,0.13555550578641531,0.16615253571978095
mlp,0.10945891309852031,0.12949256959353067,0.12860103351806373,0.1416917037510556,0.12449081141608795,0.13047955787345822
rf,0.0789296252281417,0.07638905101992731,0.07702673267382198,0.07829170526496147,0.0784820876676488,0.07993910916064906
svr,0.07723791043008188,0.07680802503087293,0.07776646534288795,0.07729915937297178,0.07928220495633781,0.07796619918621027
tft,0.07940573562660351,0.07942479594999531,0.07940451093765803,0.07940892391935131,0.07940348594285083,0.07943689997874152
xgboost,0.09641319412164466,0.11640319251255479,0.10215720890499082,0.09984621918912205,0.11215988548166926,0.10251238371069167
