,1,2,3,4,5,6,7,8,9,10
1,0,60032.9166666667,106833.05,123753.783333334,28018.8438841236,72051.4436834885,156977.904983323,51305.5088840241,154818.718061804,18113.4689941649
2,60032.9166666667,0,46800.1333333334,63720.8666666666,57461.2861582516,54943.2406469267,96944.9883166559,4518.29650736744,94785.8013951375,85774.6941599943
3,106833.05,46800.1333333334,0,14632.6333333333,94121.8263390263,57587.8391198262,50098.0716499892,55527.5411159759,47938.8847284707,132574.827493328
4,123753.783333334,63720.8666666666,14632.6333333333,0,117787.326101251,52008.7601214481,33224.1216499892,72448.2744493092,31064.9347284707,149495.560826661
5,28018.8438841236,57461.2861582516,94121.8263390263,117787.326101251,0,45156.1543220679,154609.079029498,48619.1616308784,152449.89210798,30345.1667067181
6,72051.4436834885,54943.2406469267,57587.8391198262,52008.7601214481,45156.1543220679,0,75019.5821236943,52778.6959354787,73040.6370435224,79602.8613552008
7,156977.904983323,96944.9883166559,50098.0716499892,33224.1216499892,154609.079029498,75019.5821236943,0,105672.396099298,1391.08293093096,182719.68247665
8,51305.5088840241,4518.29650736744,55527.5411159759,72448.2744493092,48619.1616308784,52778.6959354787,105672.396099298,0,103513.20917778,75614.3816203419
9,154818.718061804,94785.8013951375,47938.8847284707,31064.9347284707,152449.89210798,73040.6370435224,1391.08293093096,103513.20917778,0,180560.495555132
10,18113.4689941649,85774.6941599943,132574.827493328,149495.560826661,30345.1667067181,79602.8613552008,182719.68247665,75614.3816203419,180560.495555132,0
