,10,20,30,40,50,60
arima,0.01695106687313131,0.01695106687313131,0.01695106687313131,0.01695106687313131,0.01695106687313131,0.01695106687313131
da-rnn,0.007822118401798217,0.007944228758939758,0.008618891226029659,0.017053030381100762,0.007466001587555798,0.007651172806030281
deep-ar,4.216606434314225e-06,2.1772537011008244e-06,2.4023932767155504e-06,2.991815703707797e-06,2.855222498356543e-06,1.9344024840785993e-06
deep-state,2.8639910978575055e-06,1.2024329926266317e-05,4.956530185465554e-06,3.3470340885863686e-06,7.090399081199622e-06,2.889125476912146e-06
lstm,3.9406963170849354e-05,0.0003853620880430045,0.0008568500691783429,0.0007685883867431975,0.00017485594115967858,0.0028711900120939864
mlp,0.000609874720891236,0.0002486639014152932,0.00022148228799741653,0.00017010941391662796,0.0004229674634175185,4.507079641733259e-05
rf,0.0015337055816557262,0.0018620550930844902,0.0011149267508288156,0.000603728395689995,0.0013748854394104546,0.0008206437104880582
svr,3.0579851664102223e-06,2.7042697446359905e-06,3.5717399149495915e-06,3.48836438398334e-06,0.0001384181213016343,0.00013211491802482374
tft,2.38993366379498e-06,2.3708430594167756e-06,2.3718804157043857e-06,2.4228593914867525e-06,2.1873679525316405e-06,2.358511600542444e-06
xgboost,0.001622615574024052,0.001551067864381489,0.0015613514589194657,0.0018639994590570054,0.001434301324759745,0.0015599194786836369
