,arima,da-rnn,deep-ar,deep-state,lstm,mlp,rf,svr,tft,xgboost
time_to_fit,0.24160751501719158,0.5191448211669922,5.01311727364858,31.229676365852356,4.6880422274271645,0.022913567225138345,0.5622605244318645,0.022923620541890462,10.589870834350586,0.3996701240539551
time_to_predict,0.0037566661834716798,0.008198102315266928,1.610657548904419,27.217919770876566,0.08775685628255209,0.00012164910634358724,0.043516500790913897,0.0028856515884399412,3.1181197722752887,0.001674652099609375
costs,0.24536418120066325,0.5273429234822592,6.623774822552999,58.44759613672892,4.775799083709717,0.023035216331481933,0.6057770252227783,0.025809272130330404,13.707990606625875,0.40134477615356445
