,Time to Fit (s)
arima,92.58601140975952
da-rnn,100.44672393798828
deep-ar,1234.931500196457
deep-state,5122.527550697327
lstm,424.8999750614166
tft,789938.9592440128
mlp,13.194284439086914
rf,447.5816466808319
svr,253.6192398071289
xgboost,190.5564489364624
