,arima,da-rnn,deep-ar,deep-state,lstm,mlp,rf,svr,tft,xgboost
time_to_fit,4.5660399198532104,1.6558688084284465,5.93707439104716,33.69532285531362,3.2498010396957397,0.04054422378540039,0.13500266075134276,0.02741802533467611,11.276722280184428,0.20698874791463215
time_to_predict,0.0071525176366170245,0.016240771611531576,3.3659346024195353,58.39160611629486,0.0585222323735555,0.00010066032409667968,0.012149190902709961,0.007169342041015625,6.690562748908997,0.001087188720703125
costs,4.573192437489827,1.6721095800399781,9.303008993466696,92.08692897160847,3.308323272069295,0.04064488410949707,0.14715185165405273,0.034587367375691735,17.967285029093425,0.20807593663533527
