,1,2,3,4,5,6,7,8,9,10
1,0,242407.975045187,4311.16318895124,16380.9980283038,186440.447329548,2623.31040660372,35625.8716349532,42493.6539753943,10091.6499775719,336000.138437936
2,242407.975045187,0,238096.811856235,226026.977016883,29767.6717555933,209799.079111733,207030.756171976,200162.973831535,232564.977829357,129870.926558263
3,4311.16318895124,238096.811856235,0,12069.8348393525,182120.165151086,1818.20868096537,31305.5894564921,37882.104138008,5771.36779911087,331688.975248985
4,16380.9980283038,226026.977016883,12069.8348393525,0,170022.119189139,2830.73996110594,16362.9242726621,20176.556947206,5460.85510814878,319619.140409633
5,186440.447329548,29767.6717555933,182120.165151086,170022.119189139,0,153771.157753451,150814.575694594,143946.793354153,176348.797351976,140430.768922622
6,2623.31040660372,209799.079111733,1818.20868096537,2830.73996110594,153771.157753451,0,10868.0557954003,11919.0822268279,1327.22688775439,303298.552446003
7,35625.8716349532,207030.756171976,31305.5894564921,16362.9242726621,150814.575694594,10868.0557954003,0,6867.76476011031,25534.2216573812,300453.198457322
8,42493.6539753943,200162.973831535,37882.104138008,20176.556947206,143946.793354153,11919.0822268279,6867.76476011031,0,31333.303748693,282331.495385821
9,10091.6499775719,232564.977829357,5771.36779911087,5460.85510814878,176348.797351976,1327.22688775439,25534.2216573812,31333.303748693,0,325987.420114703
10,336000.138437936,129870.926558263,331688.975248985,319619.140409633,140430.768922622,303298.552446003,300453.198457322,282331.495385821,325987.420114703,0
