,10
arima,0.0736477744704301
da-rnn,0.09656926014018963
deep-ar,0.0035319252671372117
deep-state,0.0042536971385899545
lstm,0.00935698510177913
mlp,0.006896736806202743
rf,0.003949812345273911
svr,0.002887388494816731
tft,0.00290402718098814
xgboost,0.008646511054868739
