,Time to Fit (s)
arima,233.29672598838806
da-rnn,105.22698378562927
deep-ar,4.76837158203125e-07
deep-state,5008.739027261734
lstm,534.8856983184814
tft,148.20940566062927
mlp,20.56886577606201
rf,542.9423446655273
svr,525.1541268825531
xgboost,2048.0415387153625
