,Time to Fit (s)
arima,506.36201071739197
da-rnn,57.43094325065613
deep-ar,1736.0885944366455
deep-state,6449.607775211334
lstm,343.89898109436035
tft,168.34864687919617
mlp,37.6962513923645
rf,457.5651683807373
svr,35.746933698654175
xgboost,58.86825966835022
