,Time to Fit (s)
arima,75.55845761299133
da-rnn,100.14348888397217
deep-ar,1234.331996679306
deep-state,4.76837158203125e-07
lstm,463.4128141403198
tft,141.4621787071228
mlp,15.343645334243774
rf,430.8516035079956
svr,229.18483924865723
xgboost,192.96639919281006
