,10,20,30,40,50,60
arima,0.11267303981713488,0.11267303981713488,0.11267303981713488,0.11267303981713488,0.11267303981713488,0.11267303981713488
da-rnn,0.18176375708131665,0.2444981155064203,0.11741838990096114,0.2475782830600619,0.25913186658880516,0.19560519990226347
deep-ar,0.12951305224498005,0.1148040868958015,0.12256315269269541,0.12457551218509653,0.1283979653361821,0.12667747856252
deep-state,0.17207638914099996,0.11632039639315372,0.11388211866447483,0.1258808467353464,0.12230091124702472,0.12605924162002302
lstm,0.11796185456826686,0.12387076190492144,0.1310789015333436,0.11572337393512018,0.11397222555623125,0.1149451578623969
tft,0.14674694394602658,0.14688876891030528,0.14643595093124448,0.14663425226729335,0.14655940906217127,0.14663709818388485
mlp,0.11662175804459095,0.11820157476683625,0.11944756086806614,0.11718915339529082,0.12165444969560651,0.11652006591987298
rf,0.11615434667835732,0.12106170883876727,0.12430439659215127,0.12581054856777368,0.13488457071929102,0.15150154292536117
svr,0.11665197124029342,0.11953637283531385,0.1185764968157431,0.1265070500014005,0.12624627654094978,0.13427704478878869
xgboost,0.13307851809918947,0.14986932676324627,0.1592156025072521,0.15962716219376838,0.15773820842513067,0.1592153560187734
