,10,20,30,40,50,60
arima,0.05443025848032852,0.05443025848032852,0.05443025848032852,0.05443025848032852,0.05443025848032852,0.05443025848032852
da-rnn,0.3506625694674159,0.29767325044556453,0.33856996022025754,0.31605208620812336,0.320173473564885,0.3435456213607839
deep-ar,0.046876557957587765,0.06007548965281854,0.026858612294664425,0.022615138279622634,0.01676763507346316,0.016437097097658573
deep-state,0.04431660555050686,0.023692140382628752,0.03065532130750709,0.03037683906709497,0.023060782877754378,0.026331058674387578
lstm,0.06907438778811668,0.05909180308513027,0.05586399463707434,0.03580098355309842,0.08354024432683622,0.0905630727403878
tft,0.015781619226052965,0.01578448512797698,0.015779265872550706,0.015797177893302317,0.015792488828013665,0.015800540826950347
mlp,0.10998117032552793,0.11172018907512377,0.04959113164208248,0.089035027415358,0.0791253355823175,0.07625012952650283
rf,0.21285407934361114,0.20313559816515775,0.1956105521236194,0.1964673032691333,0.1959259489661968,0.19393021614833336
svr,0.015922337573910813,0.015671435315446652,0.04126717222441254,0.02837198531895183,0.009726564962521046,0.02181614497138285
xgboost,0.24692234470833868,0.24954071714867682,0.2533380694626722,0.23406991436471075,0.24177447035302252,0.24686232283104986
