,10,20,30,40,50,60
arima,0.059553178891287105,0.059553178891287105,0.059553178891287105,0.059553178891287105,0.059553178891287105,0.059553178891287105
da-rnn,0.35217636406715874,0.4373837972581234,0.45178627323397536,0.22165514851183668,0.43996821734580666,0.27796574577869637
deep-ar,0.03945855960714218,0.046436293437281284,0.039592687255110275,0.03815127306418323,0.038031337817945876,0.0384776078857612
deep-state,0.04054326430525995,0.04097813422877853,0.049892084797386674,0.03938715643880366,0.045872945873372456,0.045420058071763705
lstm,0.17303691134635701,0.1682498306934563,0.11926043401765678,0.14759416136463568,0.1281276328607392,0.13001551966703795
tft,0.04077815707453025,0.041006414225849205,0.04085143689404118,0.040855655880004456,0.040851364374557754,0.040823806152716795
mlp,0.07886459615245818,0.06542552306556638,0.08842703526447562,0.07729374404230853,0.10185126931976074,0.08985257893599305
rf,0.1532377219194562,0.15100290693193663,0.14881124765157103,0.1512488958515294,0.15095709052782985,0.14957570125526876
svr,0.04031804976865253,0.04493475992916148,0.04045753047006083,0.05191620420868433,0.041323045126970194,0.047243027091574574
xgboost,0.2604661166833859,0.2657417535947781,0.2615637064146023,0.27725325824489405,0.2752477407621365,0.2709832966493588
