,Time to Fit (s)
arima,64.5423686504364
da-rnn,61.333345890045166
deep-ar,1237.2321701049805
deep-state,4431.23898434639
lstm,432.09788179397583
tft,559689.1560020447
mlp,20.762181758880615
rf,329.820485830307
svr,434.8419876098633
xgboost,199.0454761981964
