,Time to Fit (s)
arima,72.75125432014465
da-rnn,59.92613625526428
deep-ar,1236.5160348415375
deep-state,5771.080373048782
lstm,331.9623603820801
tft,180.6843991279602
mlp,46.73316717147827
rf,443.4114143848419
svr,107.33772397041321
xgboost,4.76837158203125e-07
