,Time to Fit (s)
arima,3145.6526873111725
da-rnn,104.47045159339905
deep-ar,1506.8636617660522
deep-state,6342.335572719574
lstm,459.9974727630615
tft,312250.6165819168
mlp,18.80185103416443
rf,441.01601696014404
svr,368.60132336616516
xgboost,2563.245230436325
