Time,value
00:00:00,64.96666666666667
00:01:00,58.3
00:02:00,60.516666666666666
00:03:00,59.45
00:04:00,63.35
00:05:00,62.85
00:06:00,62.2
00:07:00,59.81666666666667
00:08:00,61.73333333333333
00:09:00,61.65
00:10:00,65.56666666666666
00:11:00,61.45
00:12:00,61.5
00:13:00,62.2
00:14:00,63.16666666666666
00:15:00,62.03333333333333
00:16:00,61.833333333333336
00:17:00,64.78333333333333
00:18:00,65.15
00:19:00,62.68333333333333
00:20:00,74.4
00:21:00,65.08333333333333
00:22:00,63.88333333333333
00:23:00,63.98333333333333
00:24:00,63.71666666666667
00:25:00,63.65
00:26:00,62.91666666666666
00:27:00,64.26666666666667
00:28:00,63.083333333333336
00:29:00,60.8
00:30:00,75.43333333333334
00:31:00,67.13333333333334
00:32:00,64.06666666666666
00:33:00,63.15
00:34:00,65.1
00:35:00,65.33333333333333
00:36:00,60.63333333333333
00:37:00,67.38333333333334
00:38:00,65.35
00:39:00,63.73333333333333
00:40:00,71.21666666666667
00:41:00,63.2
00:42:00,66.71666666666667
00:43:00,63.3
00:44:00,64.96666666666667
00:45:00,67.25
00:46:00,62.766666666666666
00:47:00,63.73333333333333
00:48:00,64.6
00:49:00,65.26666666666667
00:50:00,67.83333333333333
00:51:00,64.46666666666667
00:52:00,67.38333333333334
00:53:00,67.11666666666666
00:54:00,64.9
00:55:00,68.66666666666667
00:56:00,66.25
00:57:00,66.03333333333333
00:59:00,63.85
01:00:00,71.48333333333333
01:01:00,65.95
01:02:00,65.25
01:03:00,67.25
01:04:00,66.6
01:05:00,67.48333333333333
01:06:00,66.41666666666667
01:07:00,67.28333333333333
01:08:00,66.75
01:09:00,67.18333333333334
01:10:00,69.21666666666667
01:11:00,68.33333333333333
01:12:00,67.7
01:13:00,66.73333333333333
01:14:00,68.63333333333334
01:15:00,67.2
01:16:00,65.33333333333333
01:17:00,67.78333333333333
01:18:00,66.05
01:19:00,66.05
01:20:00,71.36666666666666
01:21:00,70.3
01:22:00,68.68333333333334
01:23:00,66.81666666666666
01:24:00,67.46666666666667
01:25:00,68.15
01:26:00,68.06666666666666
01:27:00,68.43333333333334
01:28:00,70.08333333333333
01:29:00,67.9
01:30:00,69.5
01:31:00,68.4
01:32:00,68.01666666666667
01:33:00,67.58333333333333
01:34:00,67.53333333333333
01:35:00,66.88333333333334
01:36:00,67.8
01:37:00,69.93333333333334
01:38:00,68.16666666666667
01:39:00,71.85
01:40:00,70.71666666666667
01:41:00,67.61666666666666
01:42:00,67.85
01:43:00,69.55
01:44:00,65.9
01:45:00,69.16666666666667
01:46:00,69.36666666666666
01:47:00,69.96666666666667
01:48:00,67.25
01:49:00,69.01666666666667
01:50:00,71.98333333333333
01:51:00,68.03333333333333
01:52:00,69.36666666666666
01:53:00,68.8
01:54:00,69.23333333333333
01:55:00,69.25
01:56:00,68.25
01:57:00,69.4
01:58:00,69.78333333333333
01:59:00,66.51666666666667
02:00:00,70.55
02:01:00,70.65
02:02:00,70.58333333333333
02:03:00,69.58333333333333
02:04:00,69.43333333333334
02:05:00,70.5
02:06:00,71.46666666666667
02:07:00,71.2
02:08:00,70.2
02:09:00,71.36666666666666
02:10:00,69.76666666666667
02:11:00,72.83333333333333
02:12:00,69.85
02:13:00,69.3
02:14:00,69.31666666666666
02:15:00,72.46666666666667
02:16:00,69.7
02:17:00,70.3
02:18:00,69.63333333333334
02:19:00,72.06666666666666
02:20:00,71.98333333333333
02:21:00,70.6
02:22:00,70.83333333333333
02:23:00,72.1
02:24:00,71.06666666666666
02:25:00,72.38333333333334
02:26:00,69.35
02:27:00,69.9
02:28:00,71.36666666666666
02:29:00,70.11666666666666
02:30:00,72.31666666666666
02:31:00,72.0
02:32:00,71.18333333333334
02:33:00,69.48333333333333
02:34:00,68.86666666666666
02:35:00,71.63333333333334
02:36:00,74.15
02:37:00,72.51666666666667
02:38:00,72.95
02:39:00,71.96666666666667
02:40:00,74.91666666666667
02:41:00,69.58333333333333
02:42:00,72.28333333333333
02:43:00,71.18333333333334
02:44:00,72.91666666666667
02:45:00,72.1
02:46:00,73.13333333333334
02:47:00,72.48333333333333
02:48:00,71.48333333333333
02:49:00,73.11666666666666
02:50:00,74.86666666666666
02:51:00,72.56666666666666
02:52:00,72.45
02:53:00,72.6
02:54:00,70.93333333333334
02:55:00,72.6
02:56:00,71.55
02:57:00,71.86666666666666
02:58:00,71.6
02:59:00,72.05
03:00:00,73.6
03:01:00,75.06666666666666
03:02:00,74.28333333333333
03:03:00,74.48333333333333
03:04:00,72.88333333333334
03:05:00,75.0
03:06:00,73.45
03:07:00,73.25
03:08:00,73.48333333333333
03:09:00,74.71666666666667
03:10:00,77.31666666666666
03:11:00,73.55
03:12:00,71.53333333333333
03:13:00,73.2
03:14:00,73.98333333333333
03:15:00,75.83333333333333
03:16:00,75.58333333333333
03:17:00,74.75
03:18:00,75.93333333333334
03:19:00,75.28333333333333
03:20:00,76.36666666666666
03:21:00,76.28333333333333
03:22:00,73.6
03:23:00,76.03333333333333
03:24:00,73.8
03:25:00,77.21666666666667
03:26:00,75.93333333333334
03:27:00,76.06666666666666
03:28:00,75.81666666666666
03:29:00,79.71666666666667
