,Time to Fit (s)
arima,125.47665095329285
da-rnn,51.46076583862305
deep-ar,1688.5862488746643
deep-state,4.76837158203125e-07
lstm,354.0974781513214
tft,160.7419695854187
mlp,38.71749210357666
rf,345.6426508426666
svr,27.79504656791687
xgboost,59.27281856536865
