,arima,da-rnn,deep-ar,deep-state,lstm,mlp,rf,svr,tft,xgboost
time_to_fit,4.513178698221842,5.396750020980835,5.883197951316833,34.05402626196543,4.383456214269002,0.04772718747456869,0.13678934574127197,0.09575819969177246,11.237513081232708,0.058803399403889976
time_to_predict,0.006341298421223958,0.07160758177439372,3.426689060529073,58.689372674624124,0.0933165152867635,0.0001285552978515625,0.011958543459574382,0.010339633623758952,6.617139482498169,0.001117428143819173
costs,4.519519996643066,5.468357602755228,9.309887011845905,92.74339893658956,4.4767727295557656,0.04785574277242025,0.14874788920084636,0.10609783331553141,17.854652563730877,0.05992082754770915
