,Time to Fit (s)
arima,159.11024737358093
da-rnn,54.832207679748535
deep-ar,1210.9469635486603
deep-state,4205.059337854385
lstm,280.01012444496155
tft,190.30091500282288
mlp,57.96502184867859
rf,336.48181772232056
svr,190.67045640945435
xgboost,230.69887852668762
