,10,20,30,40,50,60
arima,0.18040291301072633,0.18040291301072633,0.18040291301072633,0.18040291301072633,0.18040291301072633,0.18040291301072633
da-rnn,0.33588352370664165,0.15667891802316386,0.34360616651111253,0.21282600565244847,0.26979488007943686,0.3557372692381222
deep-ar,0.020764288211020623,0.0195069238468006,0.018862782019627936,0.019997228375929772,0.019952106776495285,0.02027233246547037
deep-state,0.026435641302877913,0.03018744625738937,0.03829899511578122,0.0694504373102923,0.03175010796987751,0.03869185624564411
lstm,0.06310680648055937,0.13673849952043907,0.14148836330525513,0.16601689984811516,0.15388398422290975,0.08196714198287532
tft,0.018444484283191023,0.018433408535966943,0.018438714811481478,0.018458954682115978,0.01846546858372939,0.01849596616171925
mlp,0.07339405565798758,0.05820188622990506,0.04888041131143954,0.05623820189916434,0.07931540879897248,0.08544426898453952
rf,0.047569545494300224,0.04630084663590141,0.048889665400363894,0.04415019094372937,0.05574562569259191,0.05576833107820504
svr,0.02278520261215428,0.023855287712257017,0.019311170910883697,0.02780284259585362,0.020109924199733793,0.01933892260756845
xgboost,0.0445269030077591,0.04250113407558709,0.04240957708854653,0.0489714118945534,0.04934936890161309,0.047675612705664415
