,10,20,30,40,50,60
arima,0.014591291117429237,0.014591291117429237,0.014591291117429237,0.014591291117429237,0.014591291117429237,0.014591291117429237
da-rnn,0.00623203728226528,0.007524309586115099,0.0036373388987193007,0.00915913158666475,0.004021445251227407,0.003548035104631296
deep-ar,0.00273169869849639,0.00302442461213529,0.0042726226868438095,0.003161099149228216,0.0030699442949379888,0.0028101037943954587
deep-state,0.0059277136111914284,0.002607840038493326,0.0024879255550074473,0.004726585373431116,0.003605044216137155,0.006773725740517952
lstm,0.0030576218270757104,0.0028306873330335392,0.0032438137047790323,0.004900214624814339,0.0025169352149027025,0.006407340299588061
mlp,0.0026349930638031155,0.002969951350396266,0.003308158687330042,0.002477944747837512,0.0025522378697634064,0.004523496647983536
rf,0.0028642410011454275,0.0028292843754058284,0.0028103909958542045,0.0028087741158854987,0.0028432792806474916,0.0028496742559250957
svr,0.0025500621392529413,0.0024923651570337353,0.0025818883940639118,0.0024980548820456388,0.002457634470149973,0.0024510395177255485
tft,0.0046352542925439544,0.004633662920938468,0.004635640611716898,0.004637175154334623,0.004633585526277736,0.004633620519821259
xgboost,0.0044157444652563735,0.004274615075332101,0.003516170629562901,0.003989718050773959,0.003324965936282726,0.003457983048633387
