,Time to Fit (s)
arima,410.3290808200836
da-rnn,104.71367955207825
deep-ar,2570.22297000885
deep-state,9.5367431640625e-07
lstm,407.1985867023468
tft,780514.9639942646
mlp,21.77705717086792
rf,524.1962559223175
svr,331.97512650489807
xgboost,3151.8447880744934
