,Time to Fit (s)
arima,89.9777626991272
da-rnn,60.932109355926514
deep-ar,1238.419908285141
deep-state,4.76837158203125e-07
lstm,294.9214451313019
tft,188.8011178970337
mlp,43.35278940200806
rf,389.18505239486694
svr,133.10554313659668
xgboost,225.87259984016418
