,Time to Fit (s)
arima,101.4579222202301
da-rnn,47.89428353309631
deep-ar,1470.351042509079
deep-state,6122.981882095337
lstm,433.2476906776428
tft,274.5370810031891
mlp,60.236210107803345
rf,276.2787837982178
svr,130.01467657089233
xgboost,4.76837158203125e-07
