,Time to Fit (s)
arima,1.1920928955078125e-06
da-rnn,104.63312840461731
deep-ar,1789.3068525791168
deep-state,4598.999235630035
lstm,482.74669766426086
tft,796488.9894413948
mlp,16.007699728012085
rf,409.8574924468994
svr,236.4016489982605
xgboost,2570.0926973819733
