,10,20,30,40,50,60
arima,0.002117125515095839,0.002117125515095839,0.002117125515095839,0.002117125515095839,0.002117125515095839,0.002117125515095839
da-rnn,0.24600511205390826,0.257793606154343,0.25835729604822244,0.06653616196030267,0.23938888470398634,0.01746895391513029
deep-ar,0.0004996854022499516,0.0012002743488010083,0.0005619375891384013,0.000965954081886265,0.0004398915620247613,0.0008313792878232654
deep-state,0.002498026000246864,0.0004635249117947089,0.004016966236567514,0.0009137328451934106,0.008571496026348583,0.007731910443947411
lstm,0.002657659508498508,0.0008179250375800397,0.017078310425999124,0.008955411379734572,0.004628234120508453,0.002072654269478086
mlp,0.00799948039463294,0.0050308818780153116,0.006955505055240377,0.000826023836127104,0.003533172017087425,0.0022498996329957457
rf,0.1358751547279208,0.14019779793722345,0.14010452762146472,0.1399728732801709,0.14335439003926598,0.13497728686846774
svr,0.0003943197019321667,0.000290153771577797,0.00033599725462894867,0.000253802421972261,0.00025208516129213284,0.0003583445725202529
tft,0.000418302230438142,0.0004228124569948204,0.00042970643576029896,0.00041876186296901604,0.0004265147408635727,0.00042019124552197205
xgboost,0.16301642070160238,0.16334750000681883,0.16436705705396237,0.1608088286318442,0.16417358062232612,0.16231802903164194
