,10,20,30,40,50,60
arima,0.009145100811099056,0.009145100811099056,0.009145100811099056,0.009145100811099056,0.009145100811099056,0.009145100811099056
da-rnn,0.015384411620785177,0.013350404949324221,0.010779061191637436,0.009391348434389163,0.012017553545865697,0.017477382850710477
deep-ar,0.004272822810807396,0.004332876488882137,0.004345127274297537,0.004167586834827945,0.004330713572714486,0.0043076325277029565
deep-state,0.019777075234558975,0.010388798611883902,0.008827719696474855,0.010484893233501333,0.01021618015035027,0.009199854480990484
lstm,0.005984088315794362,0.008031680531089965,0.007964257503273014,0.007899774399142901,0.007384747270688522,0.00848685007068629
mlp,0.005256607693067508,0.005780213674382671,0.005581496840985548,0.005669218724152623,0.005921504347371887,0.0059752538037009225
rf,0.00375709329797485,0.0038132354194811845,0.003821859212533558,0.00388994643588146,0.003877548856747746,0.0038041455815550278
svr,0.004319481275795139,0.004302281297073211,0.004340765603417865,0.004075194111463772,0.004288169565282583,0.004044074341071611
tft,0.0049686715544238185,0.0049635415201289,0.004963814573153675,0.004965246260191188,0.0049632994018943425,0.004964591049553531
xgboost,0.005205057393277296,0.005353733728342321,0.006684259676557842,0.005085224903159659,0.004896098962734834,0.0050699786935124655
