,10,20,30,40,50,60
arima,0.23074930454427334,0.14659544822176254,0.14659544822176254,0.14659544822176254,0.14659544822176254,0.14659544822176254
da-rnn,0.20762654821877102,0.5276966056556823,0.437262630960126,0.48996032105434456,0.4326469283616281,0.48015642592797375
deep-ar,0.0420336689789815,0.034399675671706965,0.023157847768617637,0.025117308156915166,0.02450070280214911,0.02442205263694664
deep-state,0.030041327744065115,0.06251425956795102,0.1835323853456582,0.14475960938501486,0.058564914758781464,0.1721385593925082
lstm,0.0840862534683612,0.11702387140656914,0.09397621813507374,0.06996074177113677,0.05045618098019272,0.04425980757129502
tft,0.014603228189019641,0.014715288646487674,0.014612510297635066,0.01471379546248216,0.01456170485982979,0.01455701866376905
mlp,0.07046703220531457,0.09771190561424097,0.10553120892667352,0.03946058015681988,0.12646100223082105,0.10611367012572497
rf,0.40685281254592975,0.40645439622224444,0.40526427129723436,0.4070259074055039,0.4076467737523485,0.4106686488991827
svr,0.01484909878808071,0.01549929688364284,0.013297077387911216,0.011733114226528448,0.024637856959518645,0.01265744390797702
xgboost,0.4100649809289942,0.4381086086679468,0.4169396912504206,0.43510107750187016,0.41806985492000676,0.4193980550218592
