,10,20,30,40,50,60
arima,0.24086390238326832,0.15597978654724892,0.15597978654724892,0.15597978654724892,0.15597978654724892,0.15597978654724892
da-rnn,0.22516578821477154,0.5316478261312685,0.4414078257238411,0.4940323321461348,0.44338568251231036,0.4840830456845071
deep-ar,0.0507870223288423,0.04450626159693512,0.032060531526865645,0.030949414469440658,0.030534523574816553,0.032120434099400415
deep-state,0.0392528684385147,0.07975834618515716,0.19288703834316234,0.1534436965212529,0.07906245953267427,0.17972946596369302
lstm,0.09348257255117845,0.12718210682123346,0.10322541899820148,0.07910398345058246,0.06182194348641107,0.05872342068536224
mlp,0.07893650806980673,0.10476358418480419,0.11320260114855579,0.05388627851072454,0.1341416292995939,0.11397796239384793
rf,0.41280257591672526,0.4124099075135557,0.41123701827173664,0.4129731769815372,0.41358511549335103,0.4165639144184604
svr,0.02560151726577042,0.024430038801183194,0.022303872616625097,0.020313573451720093,0.03052085323530591,0.020320465453276454
tft,0.026916629384925277,0.02692684946854801,0.02692788469609734,0.02691916765856812,0.026916655137456037,0.02692395993768426
xgboost,0.41596880194462493,0.4436393902663676,0.4227475153646042,0.440669607813199,0.42386219364291705,0.4251722993835189
