,10,20,30,40,50,60
arima,0.04787785272718736,0.04787785272718736,0.04787785272718736,0.04787785272718736,0.04787785272718736,0.04787785272718736
da-rnn,0.03315481503313955,0.03764628571903974,0.03426839040942609,0.05496193510631384,0.10788859824395103,0.04971438893584238
deep-ar,0.005581005781771024,0.005804997513722357,0.00500096216522725,0.004681298366129768,0.0054157871639201865,0.005394775340185047
deep-state,0.009585171492507745,0.014631084951562859,0.027744835927558997,0.029647196391385935,0.04672317788075444,0.04881564908916357
lstm,0.017939644865156337,0.02166198731450256,0.021359286954826195,0.018827885231521832,0.016250862707345555,0.01677619042736125
mlp,0.013545431535301595,0.017199847366335817,0.025055719391629806,0.019660869955533095,0.018245119173942354,0.007231917053253238
rf,0.007591577346627687,0.007400476207406456,0.00773125521403467,0.008027807830564008,0.008250784156656267,0.010708108514491117
svr,0.00525374838029722,0.0035353396841736845,0.0035494425108186663,0.0035364445645918135,0.0045537631615832986,0.004738203808233417
tft,0.010962179560413475,0.010992041378219788,0.010938077331552122,0.010930758731105385,0.010939468658101628,0.010951227059226803
xgboost,0.01916402974719412,0.016561293244204193,0.014494060869279225,0.018222704422935415,0.018087028598193805,0.019752060411593598
