,10,20,30,40,50,60
arima,0.1307002799398574,0.1307002799398574,0.1307002799398574,0.1307002799398574,0.1307002799398574,0.1307002799398574
da-rnn,0.29950711206406816,0.2578451069962865,0.23476024446742472,0.2413776372021369,0.2423717869398226,0.27481983506733915
deep-ar,0.11955227479175838,0.09853989508688517,0.10658412417656729,0.10283035726916796,0.12210013552532652,0.1099388445359098
deep-state,0.1454031869239959,0.5454868343973867,0.5519678779083786,0.16377059435861757,0.5534359245833528,0.10900869150307704
lstm,0.1721754867154233,0.1354150869047425,0.12545898239993516,0.09389171492294636,0.0877922452850078,0.09198244323769303
tft,0.12103982498099973,0.12000451168555198,0.12004920174671352,0.12026736216483094,0.12014749253593186,0.11998098234616314
mlp,0.15453995470050624,0.09898566170604214,0.08818374547624597,0.10511049130103592,0.08703257897245956,0.08727777108663162
rf,0.12491630324495569,0.11795765624795462,0.11184375518758043,0.11074558799248818,0.11415522951908014,0.12092433167339267
svr,0.10190380743918587,0.09610314462779761,0.1885142933938459,0.24418101528518193,0.2075488104107301,0.22224364386888948
xgboost,0.2274376903250042,0.24180682954678787,0.23810520822001113,0.2454292749881722,0.21998407446765533,0.24712833223233474
